transaction_id,customer_id,amount,transaction_hour,location_change,device_change,transaction_frequency,average_customer_amount,merchant_category,previous_risk_events,is_fraud
TXN100001,C1654,3965.87,3,0,0,1,4220.46,grocery,0,1
TXN100002,C1759,12718.26,8,0,1,2,9004.22,electronics,0,0
TXN100003,C1228,734.28,4,0,0,1,478.77,jewelry,0,0
TXN100004,C1104,2510.76,21,0,0,1,1918.63,jewelry,0,0
TXN100005,C1913,1716.92,17,0,0,1,1957.75,grocery,0,0
TXN100006,C1604,3024.77,13,0,0,2,2538.64,grocery,2,0
TXN100007,C1030,5399.4,2,0,0,1,4998.67,electronics,0,0
TXN100008,C1238,4021.57,16,0,0,1,5123.49,online_services,1,0
TXN100009,C1027,6680.66,17,0,0,1,4480.48,electronics,0,0
TXN100010,C1733,5830.63,20,0,0,1,3758.91,jewelry,0,0
TXN100011,C1558,4452.33,13,0,0,4,2834.42,electronics,0,0
TXN100012,C1459,1765.16,18,0,0,1,1104.2,travel,1,0
TXN100013,C1828,2120.47,0,0,0,4,2569.55,cash_withdrawal,1,0
TXN100014,C1825,1573.59,5,0,0,2,1823.59,jewelry,0,0
TXN100015,C1432,1984.31,10,0,1,2,2260.04,travel,0,1
TXN100016,C1159,768.87,6,0,0,2,778.1,cash_withdrawal,0,0
TXN100017,C1344,1649.17,3,0,1,2,1993.61,grocery,0,1
TXN100018,C1389,4234.93,3,0,0,1,7958.18,travel,1,0
TXN100019,C1867,14584.85,11,0,0,2,9844.06,online_services,0,0
TXN100020,C1270,1490.39,1,1,0,3,1722.83,jewelry,0,0
TXN100021,C1470,5083.42,17,0,0,5,3575.71,grocery,0,1
TXN100022,C1996,2653.65,12,0,0,3,3659.75,grocery,0,0
TXN100023,C1565,4636.48,9,0,0,2,6707.74,cash_withdrawal,0,0
TXN100024,C1643,4950.55,19,0,0,3,5514.14,cash_withdrawal,0,0
TXN100025,C1370,2885.97,18,0,1,3,3069.86,electronics,2,0
TXN100026,C1721,3080.81,2,0,0,1,2171.72,grocery,0,1
TXN100027,C1677,10243.25,7,0,0,2,4633.43,cash_withdrawal,1,0
TXN100028,C1296,10222.5,2,0,0,5,6362.24,cash_withdrawal,1,1
TXN100029,C1238,7792.57,3,0,0,1,5812.7,restaurant,0,0
TXN100030,C1284,6502.82,14,0,0,1,15066.98,jewelry,0,0
TXN100031,C1854,1372.17,11,0,0,1,1595.3,electronics,0,0
TXN100032,C1379,36383.16,11,0,0,3,15872.21,electronics,0,0
TXN100033,C1686,3667.67,8,0,0,2,1736.67,jewelry,0,0
TXN100034,C1959,20954.71,21,0,0,2,13167.53,jewelry,0,0
TXN100035,C1073,5861.9,19,0,0,1,2524.57,jewelry,0,0
TXN100036,C1175,15924.53,17,0,0,4,8779.26,jewelry,0,0
TXN100037,C1250,2631.92,5,1,0,2,3130.23,restaurant,0,1
TXN100038,C1388,3861.09,8,1,0,1,4054.28,jewelry,0,0
TXN100039,C1704,2742.1,17,0,0,1,3628.93,electronics,1,0
TXN100040,C1701,2802.03,10,0,0,3,3827.28,cash_withdrawal,1,0
TXN100041,C1786,3096.93,1,0,0,3,2937.66,electronics,1,1
TXN100042,C1841,7504.72,1,0,0,1,7434.12,cash_withdrawal,2,0
TXN100043,C1323,3527.52,12,1,0,2,3740.28,travel,0,0
TXN100044,C1067,6902.58,6,0,0,1,5112.66,online_services,0,0
TXN100045,C1897,3447.32,22,0,0,2,2400.99,travel,0,0
TXN100046,C1217,2379.62,20,0,1,2,2143.67,restaurant,2,1
TXN100047,C1405,3453.32,20,0,0,3,1872.52,restaurant,0,0
TXN100048,C1146,1809.26,8,0,0,4,1848.93,electronics,0,0
TXN100049,C1252,3507.06,23,0,0,4,3487.24,online_services,0,0
TXN100050,C1551,4279.91,8,0,0,1,2758.24,jewelry,0,0
TXN100051,C1598,919.85,13,0,0,2,781.41,online_services,2,0
TXN100052,C1408,2697.26,11,1,0,1,1183.03,electronics,0,0
TXN100053,C1141,2237.31,16,0,1,4,3665.92,restaurant,0,1
TXN100054,C1093,3055.85,1,0,1,2,2991.92,cash_withdrawal,0,1
TXN100055,C1112,1455.29,4,0,0,1,1143.66,jewelry,0,0
TXN100056,C1163,6492.93,21,0,0,3,3230.53,restaurant,0,0
TXN100057,C1610,12548.45,2,0,0,1,8453.46,restaurant,0,0
TXN100058,C1390,520.12,19,1,0,3,1302.08,restaurant,1,1
TXN100059,C1541,882.4,8,0,1,2,904.73,online_services,0,0
TXN100060,C1881,1717.41,0,0,0,2,1379.01,jewelry,0,0
TXN100061,C1738,1439.46,3,0,0,1,2056.62,jewelry,0,0
TXN100062,C1906,1110.95,17,0,0,2,3103.33,cash_withdrawal,1,1
TXN100063,C1273,2494.72,20,0,0,1,2755.54,travel,0,0
TXN100064,C1114,1909.25,9,0,0,1,1032.12,restaurant,0,0
TXN100065,C1161,4702.8,14,0,0,2,3041.28,grocery,0,0
TXN100066,C1976,1165.27,23,0,0,4,1895.81,jewelry,0,0
TXN100067,C1269,4462.95,16,0,0,2,2189.98,cash_withdrawal,0,1
TXN100068,C1182,1442.8,16,0,0,1,1119.91,grocery,0,0
TXN100069,C1891,2121.84,20,0,1,1,3083.95,travel,0,1
TXN100070,C1861,3980.8,20,0,0,4,3519.69,online_services,1,0
TXN100071,C1623,775.51,6,0,0,1,1747.11,electronics,0,0
TXN100072,C1382,1514.87,5,0,0,1,1342.92,online_services,0,0
TXN100073,C1976,4650.84,16,0,0,3,6029.41,grocery,0,1
TXN100074,C1613,2945.43,10,1,0,1,3865.33,restaurant,0,0
TXN100075,C1019,2885.0,3,0,0,1,2741.07,travel,1,0
TXN100076,C1899,747.45,9,0,0,2,635.44,electronics,0,0
TXN100077,C1059,6420.75,7,0,0,3,3019.64,online_services,0,1
TXN100078,C1969,1771.67,2,0,0,4,1058.9,grocery,0,0
TXN100079,C1749,10277.94,15,0,0,1,8577.0,cash_withdrawal,1,0
TXN100080,C1070,6007.69,17,0,0,4,7338.45,cash_withdrawal,0,0
TXN100081,C1128,1682.63,4,0,1,1,858.25,jewelry,0,0
TXN100082,C1486,4461.2,17,0,0,1,3218.2,electronics,0,0
TXN100083,C1271,7224.14,16,1,0,1,9092.73,cash_withdrawal,3,1
TXN100084,C1621,5071.52,13,0,0,1,3099.54,electronics,0,0
TXN100085,C1951,1905.0,17,1,0,2,5413.07,cash_withdrawal,0,0
TXN100086,C1747,2219.98,22,0,0,3,2509.85,electronics,0,0
TXN100087,C1730,1500.93,9,0,1,2,2469.52,restaurant,0,0
